epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1_score,test_loss,test_accuracy,test_precision,test_recall,test_f1_score,auc_roc,training_time
1,1.0272674314516979,0.6283825913455543,0.5218372836990613,0.6283825913455543,0.5572257313581904,0.8640001790079181,0.68687374749499,0.5152812870352905,0.68687374749499,0.5779787200973515,0.8450332073698663,87.25063681602478
2,0.9454218670530709,0.6499563536600573,0.5646179235008094,0.6499563536600573,0.5922350038489215,0.854806641060747,0.6928857715430862,0.5910791116282745,0.6928857715430862,0.6043187651079625,0.8508406348764727,86.25573396682739
3,0.9059591103052019,0.6606808829031051,0.5987341394068177,0.6606808829031051,0.6200939584376507,0.8155346103087217,0.6968937875751503,0.6314907963156429,0.6968937875751503,0.6462749391733326,0.858178836528201,86.91172885894775
4,0.890532043512689,0.6650455168973688,0.613111011352524,0.6650455168973688,0.6290557888297128,0.7641929471659995,0.7209418837675351,0.6626932026366191,0.7209418837675351,0.6714176274182515,0.8809427650108125,87.19199776649475
5,0.867440140326134,0.67003367003367,0.6226614327459954,0.67003367003367,0.6387668107914851,0.764954498631204,0.7224448897795591,0.6999799728357252,0.7224448897795591,0.7022542326787177,0.886654453473546,87.21683025360107
6,0.850183095713776,0.6781394188801596,0.635748862607984,0.6781394188801596,0.6511777026797347,0.7651259756996063,0.7194388777555111,0.6721181842495009,0.7194388777555111,0.6837199105996598,0.8803229359777371,86.81623005867004
7,0.8414762840408951,0.6790123456790124,0.6392040891976133,0.6790123456790124,0.6544032463131981,0.8275689701279084,0.7049098196392786,0.6685214724442827,0.7049098196392786,0.6774051625017092,0.8615017653775457,86.82392621040344
8,0.8171961914795803,0.6879910213243546,0.6488323893281178,0.6879910213243546,0.6638837834328809,0.7313301003050947,0.718436873747495,0.6705219110263931,0.718436873747495,0.6754551115198358,0.8916928522958268,87.26983857154846
9,0.816357958456542,0.6918568400049881,0.6601185516765664,0.6918568400049881,0.6722695186342894,0.7570158386517144,0.7179358717434869,0.7131453376525726,0.7179358717434869,0.7123798166747234,0.8922531018689387,87.198659658432
10,0.8036429327330189,0.693228582117471,0.6572476623599913,0.693228582117471,0.6708362260087067,0.6989940250803808,0.7359719438877755,0.6914539557622134,0.7359719438877755,0.7000843203026836,0.9032621244264363,86.9031503200531
